rule_id,frag_from,frag_to,chemotype_from,chemotype_to,radius,env_id,n_pairs_env,n_pairs_global,context_chemotypes,context_example,n_props_sign_flip_vs_global,mean_d_Hf,z_Hf,mean_d_Q,z_Q,mean_d_OBgood,z_OBgood,mean_d_Pe,z_Pe,mean_d_D,z_D,mean_d_P,z_P,mean_d_IS,z_IS
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,160937518,8,2457,nitro:8;azole_ring:8;nitramine:5;azide:3,[*:1][N+](=O)[O-].[*:2]n1nc(N)c(N[N+](=O)[O-])c1N,5,-2.435,-0.0485429,-8.50814,-0.0559684,0,0,-0.005675,-0.0720504,-0.0099641,-0.0221631,-0.0803585,-0.0217621,9.20688,0.0900322
4085,[*:1]c1nc([*:2])n(N)n1,[*:1]c1nn[nH]c1[*:2],azole_ring,azole_ring,2,72191026,8,464,hydrazo:8;azole_ring:8;amino:8;hydroxyl:8,[*:1]NNc1c(N)nnn1C.[*:2]O,5,1.07875,0.0215054,65.6674,0.431974,-1.38979,-0.077274,0.02035,0.258366,0.0268689,0.0597645,0.247813,0.067111,58.277,0.56988
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,158984877,7,2457,nitro:7;azole_ring:7;azide:4;amino:3,[*:1][N+](=O)[O-].[*:2]n1c(N)nc(N)c1N[N+](=O)[O-],5,-5.01,-0.0998768,-18.7204,-0.123147,0,0,-0.0127,-0.161241,-0.00486232,-0.0108153,0.0174055,0.00471363,-2.65016,-0.0259154
11,[*:1]c1nnnn1[*:2],[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,103291824,7,1293,nitramine:7;nitro:7;azole_ring:7;azide:4,[*:1]N[N+](=O)[O-].[*:2]n1nc(N=[N+]=[N-])nc1O,5,-3.79286,-0.0756125,-13.4824,-0.0886903,0,0,-0.0093,-0.118074,-0.0214642,-0.0477428,-0.175094,-0.0474178,-27.6346,-0.270233
3587,[*:1]c1nc(C)n([*:2])n1,[*:1]c1nnn(C)c1[*:2],azole_ring,azole_ring,2,17496311,7,449,azoxy:7;azole_ring:7;amino:7;nitro:4,[*:1]N.[*:2][N+]([O-])=Nc1c([N+](=O)[O-])nnn1N=[N+]=[N-],5,-2.01,-0.0400703,-8.78072,-0.0577614,0,0,-0.00705714,-0.0895982,-0.00904142,-0.0201108,-0.0392677,-0.0106342,1.38629,0.0135562
3587,[*:1]c1nc(C)n([*:2])n1,[*:1]c1nnn(C)c1[*:2],azole_ring,azole_ring,2,25326772,7,449,azide:7;azo:7;azole_ring:7;nitro:3,[*:1]N=Nc1c[nH]nn1.[*:2]N=[N+]=[N-],5,-5.63,-0.112237,-21.5018,-0.141443,0,0,-0.0167143,-0.212206,-0.0264335,-0.058796,-0.144949,-0.039254,74.5391,0.728903
28,[*:1]c1nnn([*:2])n1,[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,89821499,6,2457,nitramine:6;nitro:6;azole_ring:6;azide:4,[*:2]N[N+](=O)[O-].[*:1]c1c(N)nn(C)c1O,5,-8.80667,-0.175565,-30.6778,-0.201805,0,0,-0.0212,-0.269157,-0.0437765,-0.0973719,-0.335022,-0.0907284,45.7644,0.447521
11,[*:1]c1nnnn1[*:2],[*:2]c1nnnn1[*:1],azole_ring,azole_ring,2,6043073,6,1293,azole_ring:6;azide:5;hydroxyl:3;nitramine:2,[*:1]C.[*:2]c1nc(C)c(N=[N+]=[N-])n1O,5,-5.29333,-0.105525,-23.6026,-0.155263,0,0,-0.0193333,-0.245458,-0.0170138,-0.0378438,-0.0196064,-0.00530967,-5.23723,-0.0512139
61,[*:1]Nc1nnnn1[*:2],[*:1]Nn1nnc([*:2])n1,azole_ring,azole_ring,2,161340842,6,577,nitro:6;azole_ring:6;nitramine:3;azide:3,[*:1][N+](=O)[O-].[*:2]n1nc(N=[N+]=[N-])c(N[N+](=O)[O-])c1N,5,-6.76333,-0.13483,-24.2416,-0.159466,0,0,-0.0171833,-0.218161,0.00991609,0.0220563,0.213031,0.0576916,-21.6418,-0.211631
2,[*:1]c1nnn([*:2])n1,[*:1]c1nnnn1[*:2],azole_ring,azole_ring,2,21857187,5,2833,nitro:5;azole_ring:5;amino:5;nitramine:3,[*:1]N.[*:2]n1c(N)nc(N[N+](=O)[O-])c1N[N+](=O)[O-],5,-1.244,-0.0247997,-4.42573,-0.0291134,0,0,-0.0031,-0.0393579,-0.0238469,-0.0530426,-0.235687,-0.0638271,2.12024,0.0207334
